jdy,elev
1999.3780821917808,2622.8581994506835
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,
2021.7068493150684,
2021.7890410958903,
2021.8739726027397,
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,
2022.5369863013698,2627.45
2022.6219178082192,
2022.7068493150684,
2022.7890410958903,
2022.8739726027397,
2022.9561643835616,
2023.041095890411,
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,
2023.454794520548,
2023.5369863013698,2627.94
2023.6219178082192,2626.5
2023.7068493150684,2624.74
2023.7890410958903,2625.26
2023.8739726027397,
2023.9561643835616,
