,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,1998.0,7.0,14.0,1171.9336,0.03859208194308792,0.00298993,-0.00030302,69.555896,-49.36522000000002
2,Crawford Point 1,1998.0,7.0,15.0,1999.4056,1.5269299174422242,0.00322657,0.00333564,69.869858,-46.98631599999999
3,CP2,1998.0,7.0,15.0,1975.0148,0.02077426824388337,0.00278875,0.02138129,69.913479,-46.85485700000004
4,JAR1,1998.0,7.0,14.0,948.8247,1.9632249762860985,0.02140981,0.03474835,69.477623,-49.690957000000026
5,JAR2,1998.0,7.0,14.0,554.0384,1.126874071705267,0.03561667,-0.01498437,69.410854,-50.04504300000008
6,JAR3,1998.0,7.0,14.0,246.8829,3.2799357489444714,0.01302867,-0.04384195,69.368101,-50.27195000000006
7,NASA-U,1998.0,6.0,27.0,2188.0422,185.9602677131852,0.00200632,0.00610214,72.16727,-49.518771000000015
8,GITS,1998.0,6.0,27.0,2557.1375,644.7059728197241,-0.01290666,0.01992816,72.157841,-49.634068999999954
9,Humboldt,1998.0,6.0,27.0,2500.0098,734.7642190533285,0.24025738,-0.07081796,72.164468,-49.57381299999997
10,Summit,1998.0,7.0,17.0,3204.5184,65.24425715753068,0.00290131,0.00158064,72.005017,-38.899824999999964
11,Tunu-N,1998.0,7.0,14.0,2018.2727,567.188496390692,-0.0133941,-0.0099433,73.038737,-29.42471599999999
12,DYE-2,1998.0,6.0,29.0,2152.5226,0.1635724953350802,-0.003831,0.01065165,66.483404,-46.29190799999992
13,Saddle,1998.0,7.0,4.0,2486.9493,10.209179287748782,0.0001898,0.0054413,66.091771,-44.50240000000008
14,South Dome,1998.0,7.0,4.0,2924.4753,3.6483731037420295,-0.00204365,-0.00150226,63.116582,-44.80470500000001
15,NASA-E,1998.0,7.0,14.0,2018.2727,218.86799126940187,-0.0133941,-0.0099433,73.038737,-29.42471599999999
16,NASA-SE,1998.0,6.0,29.0,2414.2315,2.3234126403075726,0.00161792,-0.00052655,66.45702,-42.49781299999995
17,NGRIP,1998.0,7.0,17.0,2951.598,295.70121168104646,0.00067615,0.00193351,72.452666,-43.30595100000005
18,NEEM,1998.0,6.0,27.0,2185.2849,587.8170128865978,0.00565756,0.00704235,72.16719,-49.52899400000001
19,EastGRIP,1998.0,7.0,14.0,2025.5856,347.9854373791849,-0.01041209,-0.00532849,73.036178,-29.44112300000006
20,KAR,1998.0,7.0,17.0,2725.2052,18.737268027540956,0.00684707,0.00179055,69.865912,-33.077405
21,KULU,1998.0,7.0,16.0,806.1291,9.610282394860446,-0.02129708,-0.03134324,65.705038,-39.767191000000025
22,Aurora,1998.0,7.0,18.0,1906.7975,15.3703948537951,0.00450925,0.00424046,67.101318,-46.94770300000005
23,Petermann Glacier,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0
24,Petermann ELA,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0
