date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1997-05-28,80.675,-60.3763,56.76,1.778,-0.0095,-0.0207
1999-05-10,80.6602,-60.4861,37.12,4.344,0.0006,0.0082
2002-05-28,80.6808,-60.3156,56.89,0.51,-0.004,-0.0105
2002-05-28,80.6604,-60.4642,31.73,4.014,0.0516,0.0922
2002-05-28,80.671,-60.3919,61.82,2.263,0.0244,0.0221
2002-05-28,80.6593,-60.4792,37.12,4.306,-0.0077,0.0142
2002-05-28,80.6893,-60.2654,31.93,0.806,0.0111,0.0412
2002-05-28,80.6723,-60.3613,70.52,1.752,0.0092,0.0082
2003-05-14,80.6615,-60.4677,31.1,3.989,0.0298,0.0016
2003-05-14,80.6682,-60.3777,49.31,2.29,0.0315,0.009
2003-05-14,80.6749,-60.1668,53.3,2.471,0.0365,0.0401
2010-03-24,80.6643,-60.4736,37.65,3.897,0.0224,0.0085
2010-03-24,80.6725,-60.4047,60.24,2.359,-0.0107,0.0105
2010-04-20,80.6593,-60.4264,36.34,3.61,0.0325,0.0199
2010-04-20,80.6744,-60.5456,32.13,4.657,0.0066,-0.0076
2011-05-07,80.6704,-60.3931,50.62,2.323,0.0082,0.0275
2011-05-07,80.69,-60.4928,42.26,3.66,-0.0382,0.0104
2013-04-20,80.6698,-60.393,53.25,2.365,0.0062,-0.0099
2014-05-05,80.683,-60.2756,43.48,0.321,-0.0134,-0.0254
2014-05-05,80.7158,-60.2274,30.48,3.77,-0.0354,-0.0635
2014-05-12,80.6697,-60.3933,53.64,2.374,0.0064,-0.0054
2014-05-19,80.7113,-60.2121,34.71,3.409,-0.0177,-0.0018
2014-05-19,80.6837,-60.2943,46.58,0.025,0.0127,0.0143
2017-03-31,80.6916,-60.2512,56.72,1.164,0.0277,0.0256
2017-03-31,80.67,-60.3911,50.06,2.322,0.0123,-0.0003
2017-03-31,80.6867,-60.2299,59.2,1.189,0.0106,0.0328
2017-03-31,80.665,-60.3632,40.89,2.425,-0.0238,0.0037
2017-04-14,80.66,-60.4697,24.45,4.126,0.018,0.009
2017-04-14,80.6831,-60.2782,37.59,0.273,-0.0136,-0.0343
2019-04-17,80.7016,-60.1682,40.84,3.005,-0.0208,0.0052
2019-04-17,80.6801,-60.202,28.01,1.684,0.019,0.0247
2019-09-04,80.6805,-60.2121,23.98,1.498,-0.02,-0.0276
2019-09-04,80.6901,-60.1975,32.94,1.865,-0.0481,-0.0294
